ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Income_Level,Tech_Savviness,Preferred_Channel,Lifestyle,Annual_Transactions,Avg_Basket_Value,Loyalty_Score
462809,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,3500.0,76.0,Social Media,Active,36,23.461651709387223,51.82
462643,Female,Yes,38,Yes,Engineer,,Average,3.0,Cat_4,8000.0,80.0,Online,Family-Oriented,80,89.0736305264244,96.97
466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,9600.0,62.0,In-Store,Relaxed,21,77.39761725066269,65.9
461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,10300.0,49.0,In-Store,Relaxed,53,177.68915509414478,98.39
462669,Female,Yes,40,Yes,Entertainment,,High,6.0,Cat_6,6600.0,76.0,In-Store,Family-Oriented,105,99.74340733781351,100.0
461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,3100.0,59.0,Online,Family-Oriented,65,31.15241708281193,71.42
460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,7000.0,59.0,In-Store,Family-Oriented,36,53.833862844814554,74.45
464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,6500.0,68.0,Online,Family-Oriented,42,52.462437044066334,60.46
465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,8700.0,55.0,In-Store,Relaxed,21,63.3152202020607,64.24
465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,4900.0,62.0,Online,Family-Oriented,65,47.59199975928315,86.03
464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,7300.0,82.0,Online,Active,45,57.02689504839739,77.4
464942,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,2400.0,82.0,Online,Active,42,13.37246905538685,55.41
461230,Female,No,19,No,Executive,0.0,Low,,Cat_3,2900.0,72.0,Social Media,Active,28,16.115470133217368,55.49
459573,Male,Yes,70,No,Lawyer,,Low,1.0,Cat_6,2500.0,55.0,In-Store,Family-Oriented,35,21.2715287365873,62.11
460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,2700.0,51.0,In-Store,Relaxed,18,26.6205719273767,56.52
460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,2700.0,62.0,In-Store,Health-Conscious,31,16.508404744773845,51.62
466865,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,2500.0,64.0,Online,Health-Conscious,32,13.129805115985333,52.33
461644,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,3300.0,68.0,Online,Family-Oriented,43,19.56945205742336,54.99
466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,6700.0,45.0,In-Store,Family-Oriented,54,82.69559539787915,82.79
464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,5100.0,53.0,In-Store,Relaxed,59,65.67399426413765,76.74
466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,5200.0,61.0,Online,Family-Oriented,35,40.8917401314504,64.87
459675,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,3000.0,74.0,Online,Active,37,20.28069340127206,56.77
465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,3800.0,69.0,Online,Health-Conscious,33,15.179894069591509,49.93
459168,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,3900.0,69.0,In-Store,Health-Conscious,27,29.892377466013055,55.56
461021,Female,,58,No,Executive,1.0,Average,3.0,Cat_3,3600.0,49.0,In-Store,Relaxed,44,38.700295741824846,65.12
465083,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,3100.0,59.0,Online,Family-Oriented,60,29.999540780965184,68.36
467604,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4,2500.0,61.0,In-Store,Family-Oriented,38,19.389827256074305,59.94
459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,5000.0,72.0,In-Store,Family-Oriented,69,46.3363957167256,71.63
465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,4100.0,71.0,Online,Family-Oriented,47,27.895393285846243,65.54
461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,2800.0,78.0,In-Store,Family-Oriented,46,23.508830041770658,62.12
463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,4600.0,66.0,Online,Family-Oriented,39,44.833427716778395,68.8
462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,3800.0,63.0,Online,Family-Oriented,40,34.57866925919773,66.57
